micro_code,micro_name,micro_name_ibge,region_code,region_name,month,year,dengue_cases,population,tmax,pdsi,ID_time,ID_space
11001,Porto Velho,PORTO VELHO,1,North,1,2015,40,637530,31.07038689,0.554868698,1,1
11002,Guajar<e1>-Mirim,GUAJARÁ-MIRIM,1,North,1,2015,3,82285,31.10926437,-1.469136238,1,2
11003,Ariquemes,ARIQUEMES,1,North,1,2015,17,198611,30.94686699,-0.370664865,1,3
11004,Ji-Paran<e1>,JI-PARANÁ,1,North,1,2015,32,316823,30.67156029,-2.66702199,1,4
11005,Alvorada D'Oeste,ALVORADA D'OESTE,1,North,1,2015,9,75169,30.71211433,-3.508491039,1,5
11006,Cacoal,CACOAL,1,North,1,2015,18,248619,31.07390404,-2.489881277,1,6
11007,Vilhena,VILHENA,1,North,1,2015,41,154743,31.16916847,-0.402082056,1,7
11008,Colorado Oeste,COLORADO DO OESTE,1,North,1,2015,6,54424,31.53349876,-5.769866467,1,8
12001,Cruzeiro do Sul,CRUZEIRO DO SUL,1,North,1,2015,2311,143320,31.16414452,-0.534681797,1,9
12002,Tarauac<e1>,TARAUACÁ,1,North,1,2015,11,78713,30.71670914,0.439522743,1,10
12003,Sena Madureira,SENA MADUREIRA,1,North,1,2015,4,56200,30.65263939,0.410312802,1,11
12004,Rio Branco,RIO BRANCO,1,North,1,2015,57,460354,31.09672737,1.003292084,1,12
12005,Brasil<e9>ia,BRASILÉIA,1,North,1,2015,6,64926,30.54859352,0.569185019,1,13
13001,Rio Negro AM,RIO NEGRO,1,North,1,2015,14,110602,31.79861641,0.006497007,1,14
13002,Japur<e1>,JAPURÁ,1,North,1,2015,0,23548,31.04267502,0.803809524,1,15
13003,Alto Solim<f5>es,ALTO SOLIMÕES,1,North,1,2015,128,245521,30.90699768,-0.234837532,1,16
13004,Juru<e1>,JURUÁ,1,North,1,2015,76,144754,31.0188446,-0.397375852,1,17
13005,Tef<e9>,TEFÉ,1,North,1,2015,8,91110,31.53621101,-0.135110214,1,18
13006,Coari,COARI,1,North,1,2015,0,172058,31.47825241,-0.415391356,1,19
13007,Manaus,MANAUS,1,North,1,2015,134,2327732,31.5177269,1.049085617,1,20
13008,R.Preto da Eva,RIO PRETO DA EVA,1,North,1,2015,1,63342,31.46537018,0.553045809,1,21
13009,Itacoatiara,ITACOATIARA,1,North,1,2015,17,171452,31.33253098,0.744435847,1,22
13010,Parintins,PARINTINS,1,North,1,2015,1,270186,31.37318802,-0.067950204,1,23
13011,Boca do Acre,BOCA DO ACRE,1,North,1,2015,0,52876,30.9675808,-0.05975898,1,24
13012,Purus,PURUS,1,North,1,2015,0,76545,31.2553997,-0.093943909,1,25
13013,Madeira,MADEIRA,1,North,1,2015,75,188610,31.25321198,-0.534362853,1,26
14001,Boa Vista,BOA VISTA,1,North,1,2015,21,359804,31.65721512,-2.271391869,1,27
14002,Nordeste RR,NORDESTE DE RORAIMA,1,North,1,2015,6,47524,31.37859726,-2.720808506,1,28
14003,Caracara<ed>,CARACARAÍ,1,North,1,2015,3,46961,32.20305634,-1.835447907,1,29
14004,Sudeste RR,SUDESTE DE RORAIMA,1,North,1,2015,66,51376,31.83640862,-1.660609603,1,30
15001,<d3>bidos,ÓBIDOS,1,North,1,2015,3,198751,30.92876053,-0.259787887,1,31
15002,Santar<e9>m,SANTARÉM,1,North,1,2015,27,507271,30.99675751,0.114529833,1,32
15003,Almeirim,ALMEIRIM,1,North,1,2015,1,71843,30.48470879,-0.719845533,1,33
15004,Portel,PORTEL,1,North,1,2015,5,144594,31.72350502,-0.223560303,1,34
15005,Furos de Breves,FUROS DE BREVES,1,North,1,2015,0,220578,31.29314423,0.112370275,1,35
15006,Arari,ARARI,1,North,1,2015,8,168225,31.05562782,2.581654787,1,36
15007,Bel<e9>m,BELÉM,1,North,1,2015,86,2261942,31.56979561,3.764093876,1,37
15008,Castanhal,CASTANHAL,1,North,1,2015,21,324645,31.58170319,3.896056175,1,38
15009,Salgado,SALGADO,1,North,1,2015,6,260362,31.34339714,3.471328735,1,39
15010,Bragantina,BRAGANTINA,1,North,1,2015,8,405443,31.48612404,3.215907335,1,40
15011,Camet<e1>,CAMETÁ,1,North,1,2015,2,473045,32.00743866,2.976178408,1,41
15012,Tom<e9>-A<e7>u,TOMÉ-AÇU,1,North,1,2015,9,320418,32.04615021,3.298239708,1,42
15013,Guam<e1>,GUAMÁ,1,North,1,2015,5,460985,31.70305443,2.661226511,1,43
15014,Itaituba,ITAITUBA,1,North,1,2015,3,245909,30.89962959,-2.174452543,1,44
15015,Altamira,ALTAMIRA,1,North,1,2015,94,294165,30.98017311,-0.94228512,1,45
15016,Tucuru<ed>,TUCURUÍ,1,North,1,2015,4,362863,31.76259804,0.024101837,1,46
